sample_id,project_id,text,label_code,label_name,fold
REQ_0001,8,All movies shall be streamed on demand at any time of the day.,A,availability,9
REQ_0003,6,Aside from server failure the software product shall achieve 99.99% up time.,A,availability,8
REQ_0004,9,Defect reports will be available to technical units on a 24x7 basis.,A,availability,6
REQ_0005,2,Out of 1000 accesses to the system the system is available 999 times.,A,availability,3
REQ_0006,21,Programmers and application developers will have access to source code to address bugs or system enhancements as deemed necessary. Network Administrator and DBA support is also required to maintain a 24x7 system uptime.,A,availability,3
REQ_0007,48,The MTBF (if any) should not be less than 2 months.,A,availability,10
REQ_0008,15,The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.,A,availability,8
REQ_0009,13,The WCS system shall be available at all times as long as IBM92s internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM92s internal intranet W3 is available.,A,availability,4
REQ_0010,14,The application shall have a downtime of at most 10 minutes per year.,A,availability,1
REQ_0011,24,The application should be connected to the GPS device.,A,availability,2
REQ_0012,24,The application should be connected to the Internet.,A,availability,6
REQ_0013,5,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,A,availability,2
REQ_0015,10,The product shall be available 24 hours per day seven days per week.,A,availability,4
REQ_0016,12,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,A,availability,8
REQ_0017,1,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,A,availability,1
REQ_0018,2,The product shall be available for use 24 hours per day 365 days per year,A,availability,1
REQ_0019,37,The software is available for use from the supermarket opening time to the closing time.,A,availability,9
REQ_0020,11,The system must be available for use between 7:00AM and 11:59PM all days of the year.,A,availability,1
REQ_0021,3,The system shall achieve 95% up time.,A,availability,7
REQ_0022,36,The system shall be available 99.5% of the time.,A,availability,9
REQ_0023,3,The system shall be available for use between the hours of 8am and 6pm.,A,availability,6
REQ_0024,11,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,A,availability,10
REQ_0025,46,The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability.,A,availability,7
REQ_0026,46,The system shall provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet.,A,availability,3
REQ_0027,8,The system will provide a 24 hour 800 toll free number for support to its customers.,A,availability,4
REQ_0029,8,The website shall achieve 99.5% up time.,A,availability,10
REQ_0030,8,The website shall be available for use 24 hours per day 365 days per year.,A,availability,7
REQ_0031,8,Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.,A,availability,2
REQ_0032,2,100% of saved user preferences shall be restored when system comes back online.,FT,fault_tolerance,10
REQ_0033,29,ABS shall handle all expected and unexpected errors in ways that prevent loss in information and long downtime period.,FT,fault_tolerance,2
REQ_0034,36,The Operational Interface shall have a Mean Time Between Failures of no less than 7 days.,FT,fault_tolerance,4
REQ_0035,6,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FT,fault_tolerance,1
REQ_0036,2,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FT,fault_tolerance,6
REQ_0038,12,The product shall be robust.The product shall have fault avoidance based on standards adoption.,FT,fault_tolerance,3
REQ_0039,6,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FT,fault_tolerance,7
REQ_0041,2,The product shall retain user preferences in the event of a failure.,FT,fault_tolerance,3
REQ_0042,34,The reliability of the overall program depends on the reliability of the separate components. The main pillar of reliability of the system is the backup of the database which is continuously maintained and updated to reflect the most recent changes.,FT,fault_tolerance,4
REQ_0043,38,The system shall accommodate high number of items and users without any fault.,FT,fault_tolerance,7
REQ_0044,29,The system shall accommodate large data items without fault.,FT,fault_tolerance,2
REQ_0045,27,The system shall be capable of restoring itself to its previous state in the event of failure (e.g. a system crash or power loss).,FT,fault_tolerance,9
REQ_0046,27,The system shall flag tablets that fail to send timely keep-alive messages as non-operational and disassociate the assigned waiter from the tablet.,FT,fault_tolerance,8
REQ_0047,40,The system should warn ECA users about the malfunction of the system.,FT,fault_tolerance,8
REQ_0048,8,The website shall continue to operate if the payment gateway goes down.,FT,fault_tolerance,9
REQ_0049,8,The website shall continue to operate if the streaming server goes down.,FT,fault_tolerance,6
REQ_0050,4,All actions that modify an existing dispute case must be recorded in the case history.,L,legal,7
REQ_0051,4,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,L,legal,4
REQ_0052,4,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,L,legal,1
REQ_0053,8,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,L,legal,2
REQ_0054,4,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,L,legal,3
REQ_0055,4,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,L,legal,4
REQ_0056,4,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,L,legal,10
REQ_0057,8,The PHP code will comply with PEAR standards.,L,legal,9
REQ_0058,7,The System shall meet all applicable accounting standards. The final version of the System must successfully pass independent audit performed by a certified auditor.,L,legal,3
REQ_0059,19,The calculations performed by the system must comply according to the norms set by the user and should not vary unless explicitly changed by the user.,L,legal,10
REQ_0060,19,The client should agree to EULA before using our software.,L,legal,6
REQ_0061,5,The product must comply with Sarbanes-Oxley.,L,legal,1
REQ_0062,5,The product shall comply with insurance regulations regarding claims processing.,L,legal,8
REQ_0064,8,The website will comply with W3C standards.,L,legal,2
REQ_0065,4,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,LF,look_and_feel,9
REQ_0066,30,Be intuitive even to first time users,LF,look_and_feel,1
REQ_0067,14,Each page shall contain a navigation menu which shows the index into which the current page is contained.,LF,look_and_feel,9
REQ_0068,14,Each page shall contain a similar format with action items in one location and navigation buttons in a different location.,LF,look_and_feel,9
REQ_0069,32,It should give a drill-down view of all data in the medical record after logging in.,LF,look_and_feel,3
REQ_0070,4,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,LF,look_and_feel,10
REQ_0071,5,The appearance of the product shall appear professional,LF,look_and_feel,1
REQ_0072,1,The application shall match the color of the schema set forth by Department of Homeland Security,LF,look_and_feel,8
REQ_0073,25,The campus map shall have a pause/resume button. The pause and resume button will allow the user to scroll and select other buildings without being interrupted by the automatic search and announce feature.,LF,look_and_feel,10
REQ_0074,25,The campus map shall provide visual clues regarding what areas have prepared audio and therefore may be selected.,LF,look_and_feel,3
REQ_0076,11,The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.,LF,look_and_feel,8
REQ_0078,15,The intranet pages should display appropriately in all resolutions from 800x600 and higher. The display of all the pages will be correct in 95% of the resolutions prior to implementation. The remaining 5% will be corrected within a week of notification of the incorrect display.,LF,look_and_feel,2
REQ_0079,35,The logo and the current basic design of registration system should be displayed. The system should be attractive according to the clients. The design and the color should make users feel comfortable when using the system instead of flashing useless colors on the screen. The design should also reflect the seriousness of the environment.,LF,look_and_feel,4
REQ_0080,2,The look and feel of the system shall conform to the user interface standards of the smart device.,LF,look_and_feel,1
REQ_0082,15,The product must comply with the intranet page standards and requirements of ENET Securities. 95% of the product look & feel will be approved by the Architecture group prior to implementation. The remaining 5% will be corrected and approved within one month of product release.,LF,look_and_feel,6
REQ_0083,12,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,LF,look_and_feel,2
REQ_0084,5,The product shall comply with corporate User Interface Guidelines,LF,look_and_feel,6
REQ_0085,5,The product shall comply with corporate color scheme,LF,look_and_feel,7
REQ_0086,10,The product shall display each type of ship in a grid using an image of the specific type of ship.,LF,look_and_feel,8
REQ_0087,10,The product shall display the grids within a circle as a view from a periscope.,LF,look_and_feel,3
REQ_0088,6,The product shall have a conservative and professional appearance.,LF,look_and_feel,7
REQ_0090,12,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,LF,look_and_feel,7
REQ_0091,10,The product shall simulate the look of ships at sea.,LF,look_and_feel,6
REQ_0093,13,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,LF,look_and_feel,10
REQ_0094,27,The system shall be able to display a menu at all times to facilitate manual order taking should the need arise.,LF,look_and_feel,2
REQ_0095,13,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,LF,look_and_feel,3
REQ_0096,2,The system shall have a professional appearance,LF,look_and_feel,4
REQ_0097,46,The system shall provide a uniform look and feel between all the web pages.,LF,look_and_feel,7
REQ_0098,25,The system shall show a tabbed display (or equivalent functionality) with the campus map on one tab and info on the most recently announced building on the other.,LF,look_and_feel,10
REQ_0099,13,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,LF,look_and_feel,2
REQ_0100,16,The system shall use a text-based interface to display a listing of available mail.,LF,look_and_feel,7
REQ_0101,40,The system should be simple to use,LF,look_and_feel,6
REQ_0102,27,The system should use the company colors and logos.,LF,look_and_feel,4
REQ_0103,2,The user interface shall have standard menus buttons for navigation,LF,look_and_feel,6
REQ_0104,8,The website design should be modern clean and concise.,LF,look_and_feel,9
REQ_0105,8,The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,LF,look_and_feel,2
REQ_0106,8,The website shall not be offensive to religious or ethnic groups.,LF,look_and_feel,1
REQ_0107,8,The website should appeal to all Africans not only Nigerians.,LF,look_and_feel,1
REQ_0108,8,The website should cater to all tribes in Nigeria.,LF,look_and_feel,9
REQ_0109,8,The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,LF,look_and_feel,8
REQ_0110,10,When a ship is sunk the product shall simulate the sound of a sinking ship.,LF,look_and_feel,4
REQ_0111,10,When a shot is marked as a hit the product shall simulate the sound of a shot hitting its target.,LF,look_and_feel,3
REQ_0112,10,When a shot is marked as a miss the product shall simulate the sound of a shot missing its target.,LF,look_and_feel,8
REQ_0113,10,When the offensive player takes a shot the product shall simulate the sound of a ship at sea.,LF,look_and_feel,10
REQ_0114,13,All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,MN,maintainability,6
REQ_0116,36,All source code shall adhere to an agreed upon and well-defined set of coding standards for each development language used.,MN,maintainability,9
REQ_0117,14,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,MN,maintainability,6
REQ_0118,23,Changes made to the Manage My ID website can be adopted without altering the iOS application.,MN,maintainability,7
REQ_0119,15,Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.,MN,maintainability,7
REQ_0120,31,Detailed documentation of the code and SRS will enable easy maintenance of the Flea Market.,MN,maintainability,3
REQ_0121,6,Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MN,maintainability,2
REQ_0122,14,New System version releases shall be released at the beginning of each NFL season.,MN,maintainability,2
REQ_0123,15,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.,MN,maintainability,10
REQ_0124,8,Promotional updates to the website should take a day to update.,MN,maintainability,7
REQ_0125,24,Test environments should be built for the application to allow testing of the applications different functions.,MN,maintainability,6
REQ_0126,13,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,MN,maintainability,8
REQ_0127,24,The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.,MN,maintainability,10
REQ_0128,6,The customer shall be able to easily integrate new building maps with the product throughout the product92s lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,MN,maintainability,1
REQ_0130,6,The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product92s software code.,MN,maintainability,4
REQ_0131,8,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,MN,maintainability,8
REQ_0132,11,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,MN,maintainability,9
REQ_0133,12,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,MN,maintainability,4
REQ_0134,12,The product shall continue to operate during upgrade change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,MN,maintainability,4
REQ_0136,48,The system should be easy enough to maintain that someone else could do it with a manual and a few hours training.,MN,maintainability,3
REQ_0137,9,Washing parameters will be updated during scheduled maintenance hours.,MN,maintainability,1
REQ_0138,15,98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space: 400MB.,O,operational,9
REQ_0140,6,A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,O,operational,9
REQ_0141,14,A primary database will be used to store cached data for active users.,O,operational,6
REQ_0142,14,A secondary database will be used to store historical statistics and data.,O,operational,2
REQ_0143,8,All aspects of the website shall be accessed by a web browser over the Internet.,O,operational,3
REQ_0145,31,Flea Market system will interface with the web server and RDBMS software using APIs provided by the implementation language,O,operational,4
REQ_0146,5,For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,O,operational,8
REQ_0147,35,For the system to successfully operate the registration system should be integrated with other IT services and the portal.,O,operational,3
REQ_0148,32,It must be able to change and update information on the server.,O,operational,8
REQ_0149,32,It must only update the parts that have changed when connecting to the server.,O,operational,6
REQ_0151,8,Movies shall be encoded for 56k and 256k streams.,O,operational,7
REQ_0152,5,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,O,operational,7
REQ_0153,13,The Brio portion of the WCS system must be able to export files in spreadsheet form (Microsoft Excel and Lotus 1-2-3 formats). Brio will provide buttons in the user interface that produce/export reports in .xls or .123 file formats.,O,operational,10
REQ_0154,4,The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday 96 Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,O,operational,8
REQ_0155,4,The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.,O,operational,4
REQ_0156,4,The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant92s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,O,operational,3
REQ_0157,4,The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,O,operational,8
REQ_0158,4,The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,O,operational,7
REQ_0159,4,The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,O,operational,9
REQ_0160,15,The RFS system should be able to easily interface with the BDW environment in order to load the data. 95 7 data files shall be received from the BDW and loaded into the RFS system within 3 hours one day prior to the start of budgeting process every year. The data will be as of October month-end. Test files (7) shall be loaded up to 5 times throughout the year from the BDW.,O,operational,8
REQ_0161,7,The System shall be able to automatically backup business data and restore them on demand.,O,operational,3
REQ_0162,7,The System shall not require additional third party licenses resulting in royalty fees.,O,operational,2
REQ_0163,7,The System shall utilize currently owned computer equipment.,O,operational,2
REQ_0164,13,The WCS system shall be run in a Windows environment. The WCS shall be accessed by users through the Internet on an IBM computer running a Windows 2000 or above operating system.,O,operational,3
REQ_0165,14,The application shall run on a web application server.,O,operational,9
REQ_0166,37,The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.,O,operational,10
REQ_0167,9,The lead washing process will operate within the established physical web service structure.,O,operational,10
REQ_0168,5,The maintenance of the product will fall within the established corporate maintenance windows.,O,operational,8
REQ_0169,18,The meeting scheduler shall be accessed from the Web.,O,operational,1
REQ_0170,6,The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,O,operational,6
REQ_0171,6,The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O,operational,10
REQ_0172,6,The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,O,operational,8
REQ_0173,6,The product must be able to interface with various email servers. The product shall be able to send email.,O,operational,10
REQ_0174,6,The product must be developed with the J2SE/J2EE programming language libraries,O,operational,10
REQ_0176,5,The product must support Internet Explorer 5.5 and above.,O,operational,4
REQ_0177,5,The product must support Mozilla Firefox 1.0 and above.,O,operational,6
REQ_0178,6,The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,O,operational,2
REQ_0179,5,The product shall adhere to the corporate Architecture guidelines,O,operational,9
REQ_0180,6,The product shall be able to be installed in any operating environment within 2 days.,O,operational,3
REQ_0181,8,The product shall be able to be installed in the specified environment within 1 working day.,O,operational,10
REQ_0182,6,The product shall be available for distribution as a packaged CD.,O,operational,7
REQ_0183,6,The product shall be available for distribution via the Internet as a binary or ZIP file.,O,operational,1
REQ_0184,46,The product shall be based on web and has to be run from a web server.,O,operational,8
REQ_0185,12,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,O,operational,9
REQ_0186,5,The product shall be supported using the corporate support center.,O,operational,1
REQ_0187,6,The product shall be used in office environments.,O,operational,4
REQ_0188,12,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,O,operational,3
REQ_0189,5,The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,O,operational,9
REQ_0190,5,The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,O,operational,1
REQ_0191,5,The product shall run on the existing hardware for all environments.,O,operational,4
REQ_0192,6,The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,O,operational,2
REQ_0194,6,The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,O,operational,4
REQ_0195,8,The same hardware supporting the current website will be used to support the new system.,O,operational,6
REQ_0196,34,The system provides storage of all databases on redundant computers with automatic switchover.,O,operational,10
REQ_0197,3,The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O,operational,6
REQ_0199,16,The system shall be evoked by typing “pine” into a command or shell prompt.,O,operational,3
REQ_0201,3,The system shall interface with CampusConnect92s central server,O,operational,4
REQ_0202,3,The system shall interface with the faculty central server.,O,operational,1
REQ_0203,3,The system shall interface with the student master server.,O,operational,7
REQ_0204,3,The system shall operate within the Windows XP Professional operating system.,O,operational,9
REQ_0205,16,The system shall use the SMTP mail protocol.,O,operational,7
REQ_0206,27,The system shall utilise periodic 30-second keep-alive messages between tablets and the server to monitor tablet operational status.,O,operational,6
REQ_0207,35,The system should be able to manage all the information incoming from the database and the catalogue.,O,operational,2
REQ_0208,33,The system should have to keep the location where the doughnut will be send.,O,operational,2
REQ_0209,9,The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.,O,operational,4
REQ_0210,8,The website should use Flash to provide animation on the home page.,O,operational,2
REQ_0211,3,We must be able to interface with any HTML browser.,O,operational,1
REQ_0212,8,We must be able to interface with the following browsers: IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.,O,operational,1
REQ_0213,8,Website must be fully operational with MSN TV2.,O,operational,1
REQ_0214,8,Website must interface with the CyberSource API to process credit card transactions.,O,operational,7
REQ_0215,8,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PE,performance,8
REQ_0216,20,All Web pages generated by the system shall be fully downloadable in no more than 10 seconds over a 40KBps modem connection.,PE,performance,8
REQ_0217,8,Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,PE,performance,3
REQ_0218,48,Any page of the application should not take more than 6 seconds to load on a DSL broadband connection.,PE,performance,4
REQ_0219,8,Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,PE,performance,7
REQ_0220,9,For leads that process longer than 25 seconds the system will record the event and duration,PE,performance,9
REQ_0221,37,High level of performance requires high speed network and high level of connectivity.,PE,performance,8
REQ_0222,8,Izogn Administrator must be able to add new products to the website within 2 minutes.,PE,performance,3
REQ_0223,8,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PE,performance,8
REQ_0224,9,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PE,performance,2
REQ_0225,11,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.,PE,performance,10
REQ_0226,11,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.,PE,performance,4
REQ_0227,7,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PE,performance,2
REQ_0228,20,Responses to queries shall take no longer than 7 seconds to load onto the screen after the user submits the query.,PE,performance,9
REQ_0229,29,Responses to view information shall take no longer than 5 seconds to appear on the screen.,PE,performance,7
REQ_0231,8,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PE,performance,7
REQ_0232,8,System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,PE,performance,10
REQ_0233,8,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PE,performance,6
REQ_0234,8,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,PE,performance,2
REQ_0235,8,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,PE,performance,4
REQ_0236,8,System shall let customers register on the website as a 93pay as you go94 user in under 5 minutes.,PE,performance,8
REQ_0239,8,System shall let the administrator add/remove categories on the website in under 5 minutes.,PE,performance,3
REQ_0241,4,The Disputes application shall support 350 concurrent users without any degradation of performance in the application.,PE,performance,2
REQ_0242,7,The System shall allow for a minimum of 6 users to work at the same time.,PE,performance,10
REQ_0243,14,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,PE,performance,10
REQ_0244,48,The application should be able to support 100 concurrent users without any performance degradation.,PE,performance,7
REQ_0245,4,The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.,PE,performance,1
REQ_0246,46,The performance shall depend upon hardware components of the client/customer.,PE,performance,9
REQ_0247,5,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PE,performance,6
REQ_0248,9,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE,performance,6
REQ_0249,15,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,PE,performance,7
REQ_0250,10,The product shall able to handle a large number of games simultaneously.,PE,performance,10
REQ_0251,2,The product shall generate a CMA report in an acceptable time.,PE,performance,10
REQ_0252,12,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,PE,performance,6
REQ_0253,12,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,PE,performance,4
REQ_0254,2,The product shall produce search results in an acceptable time,PE,performance,1
REQ_0256,12,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,PE,performance,7
REQ_0257,12,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,PE,performance,8
REQ_0258,12,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,PE,performance,2
REQ_0259,1,The product shall respond fast to keep up-to-date data in the display.,PE,performance,6
REQ_0260,2,The product shall synchronize contacts and appointments in an acceptable time.,PE,performance,3
